,sdate,edate,municipality_name,county,displayName,type,mode,category,concern
1127,2020-06-18,2019-10-11,Ekerö kommun,Stockholms län,Mitt i Mälarö,huvudredaktion,redaktion,Gratistidning,Direktpress
1128,2019-10-12,2019-05-01,Ekerö kommun,Stockholms län,Mälarö Tidning,huvudredaktion,riktad titel,Gratistidning,Direktpress
1129,2019-10-12,2020-06-17,Ekerö kommun,Stockholms län,Mälarö Direkt,huvudredaktion,riktad titel,Gratistidning,Direktpress
1130,2020-06-18,9,Ekerö kommun,Stockholms län,Mitt i Mälarö,huvudredaktion,riktad titel,Gratistidning,Direktpress
1131,1995-01-01,9,Ekerö kommun,Stockholms län,Mälaröarnas nyheter,huvudredaktion,redaktion,Gratistidning,
1132,2008-02-01,9,Sigtuna kommun,Stockholms län,Märsta.nu,huvudredaktion,redaktion,Sajt,
1133,1883,2020-06-26,Sigtuna kommun,Stockholms län,Sigtunabygden,huvudredaktion,riktad titel,Gratistidning,NTM
1134,0,9,Mölndals kommun,Västra Götalands län,Mölndals-Posten,huvudredaktion,redaktion,Dagspress,OTV
1135,2015-04-01,2019-03-31,Lekebergs kommun,Örebro län,Nerikes Allehanda,lokalredaktion,redaktion,Dagspress,Mittmedia
1136,2019-04-01,2020-04-01,Lekebergs kommun,Örebro län,Nerikes Allehanda,lokalredaktion,redaktion,Dagspress,Bonnier|Mittmedia
1137,2020-04-02,9,Lekebergs kommun,Örebro län,Nerikes Allehanda,lokalredaktion,redaktion,Dagspress,Bonnier
1138,0,2015-03-31,Lekebergs kommun,Örebro län,Nerikes Allehanda,lokalredaktion,redaktion,Dagspress,Promedia
1139,2015-04-01,2019-03-31,Laxå kommun,Örebro län,Nerikes Allehanda,lokalredaktion,redaktion,Dagspress,Mittmedia
1140,2019-04-01,2020-04-01,Laxå kommun,Örebro län,Nerikes Allehanda,lokalredaktion,redaktion,Dagspress,Bonnier|Mittmedia
1141,2020-04-02,9,Laxå kommun,Örebro län,Nerikes Allehanda,lokalredaktion,redaktion,Dagspress,Bonnier
1142,0,2015-03-31,Laxå kommun,Örebro län,Nerikes Allehanda,lokalredaktion,redaktion,Dagspress,Promedia
1143,2015-04-01,2019-03-31,Kumla kommun,Örebro län,Nerikes Allehanda,lokalredaktion,redaktion,Dagspress,Mittmedia
1144,2019-04-01,2020-04-01,Kumla kommun,Örebro län,Nerikes Allehanda,lokalredaktion,redaktion,Dagspress,Bonnier|Mittmedia
1145,2020-04-02,9,Kumla kommun,Örebro län,Nerikes Allehanda,lokalredaktion,redaktion,Dagspress,Bonnier
1146,0,2015-03-31,Kumla kommun,Örebro län,Nerikes Allehanda,lokalredaktion,redaktion,Dagspress,Promedia
1147,0,9,Kumla kommun,Örebro län,"Radio 94,3",huvudredaktion,redaktion,Etermedier,
1148,2007,9,Kumla kommun,Örebro län,Sydnärkenytt,huvudredaktion,redaktion,Sajt,
1149,2015-04-01,2019-03-31,Askersunds kommun,Örebro län,Nerikes Allehanda,lokalredaktion,redaktion,Dagspress,Mittmedia
1150,2019-04-01,2020-04-01,Askersunds kommun,Örebro län,Nerikes Allehanda,lokalredaktion,redaktion,Dagspress,Bonnier|Mittmedia
1151,2020-04-02,9,Askersunds kommun,Örebro län,Nerikes Allehanda,lokalredaktion,redaktion,Dagspress,Bonnier
1152,0,2015-03-31,Askersunds kommun,Örebro län,Nerikes Allehanda,lokalredaktion,redaktion,Dagspress,Promedia
1153,1964,9,Årjängs kommun,Värmlands län,Nordmarksbygden,huvudredaktion,redaktion,Gratistidning,
1154,0,9,Årjängs kommun,Värmlands län,Nya Wermlands-Tidningen,lokalredaktion,redaktion,Dagspress,NWT
1155,0,9,Sollefteå kommun,Västernorrlands län,Nordsverige,lokalredaktion,redaktion,Dagspress,Tidningar i Norr
1156,1991,9,Sollefteå kommun,Västernorrlands län,Sollefteåbladet,huvudredaktion,redaktion,Gratistidning,
1157,0,2019-03-31,Sollefteå kommun,Västernorrlands län,Tidningen Ångermanland,lokalredaktion,redaktion,Dagspress,Mittmedia
1158,2019-04-01,2020-04-01,Sollefteå kommun,Västernorrlands län,Tidningen Ångermanland,lokalredaktion,redaktion,Dagspress,Bonnier|Mittmedia
1159,2020-04-02,9,Sollefteå kommun,Västernorrlands län,Tidningen Ångermanland,lokalredaktion,redaktion,Dagspress,Bonnier
